City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,barrow,71.2906,-156.7887,-27.99,76,100,2.57,US,1675612729
1,mataura,-46.1927,168.8643,14.83,75,99,3.87,NZ,1675612729
2,kapaa,22.0752,-159.319,22.18,90,100,4.12,US,1675612730
3,la ronge,55.1001,-105.2842,-4.86,93,100,3.6,CA,1675612730
4,ushtobe,45.2514,77.9838,0.43,98,100,1.8,KZ,1675612731
5,punta arenas,-53.15,-70.9167,10.06,57,20,13.89,CL,1675612721
6,qaanaaq,77.484,-69.3632,-19.55,66,0,4.05,GL,1675612731
7,jamestown,42.097,-79.2353,6.77,52,0,6.69,US,1675612731
8,mahebourg,-20.4081,57.7,27.36,89,40,1.54,MU,1675612732
9,pontes e lacerda,-15.2261,-59.3353,29.46,64,93,2.1,BR,1675612732
10,saskylakh,71.9167,114.0833,-39.56,100,100,1.89,RU,1675612732
11,bolkhov,53.4433,36.0044,-3.39,96,100,3.17,RU,1675612733
12,torquay,50.4638,-3.5143,9.71,71,89,1.34,GB,1675612733
13,kautokeino,69.0125,23.0412,-7.7,93,100,0.99,NO,1675612734
14,karratha,-20.7377,116.8463,31.37,54,13,6.63,AU,1675612734
15,albany,42.6001,-73.9662,1.0,57,100,2.24,US,1675612722
16,lhokseumawe,5.1801,97.1507,25.04,86,100,1.48,ID,1675612735
17,carnarvon,-24.8667,113.6333,25.13,77,2,8.29,AU,1675612735
18,phalodi,27.1333,72.3667,22.38,21,0,4.54,IN,1675612735
19,saint-philippe,-21.3585,55.7679,27.77,86,85,4.64,RE,1675612736
20,upernavik,72.7868,-56.1549,-26.15,97,99,2.24,GL,1675612617
21,esna,25.2934,32.554,20.01,23,93,2.61,EG,1675612736
22,atuona,-9.8,-139.0333,25.76,75,8,7.92,PF,1675612736
23,saint george,37.1041,-113.5841,1.33,75,0,1.54,US,1675612737
24,husavik,66.0449,-17.3389,7.34,79,100,11.65,IS,1675612737
25,tahoua,14.8888,5.2692,36.99,11,64,1.03,NE,1675612738
26,santa rita,-7.1139,-34.9781,31.37,62,40,4.12,BR,1675612738
27,miyang,24.4042,103.4428,12.7,47,13,1.49,CN,1675612738
28,viedma,-40.8135,-62.9967,36.27,15,69,7.78,AR,1675612516
29,port elizabeth,-33.918,25.5701,27.28,89,75,9.26,ZA,1675612739
30,busselton,-33.65,115.3333,18.78,86,5,7.05,AU,1675612739
31,meulaboh,4.1363,96.1285,23.77,89,98,1.49,ID,1675612739
32,college,64.8569,-147.8028,-26.03,73,40,0.0,US,1675612740
33,castro,-24.7911,-50.0119,25.36,55,68,3.76,BR,1675612740
34,rikitea,-23.1203,-134.9692,25.83,76,6,7.17,PF,1675612740
35,guajara,-2.9667,-57.6667,29.09,69,87,2.8,BR,1675612741
36,gayeri,12.6497,0.4931,36.36,7,100,3.02,BF,1675612741
37,andenes,69.3143,16.1194,3.99,60,75,10.8,NO,1675612742
38,ribeira grande,38.5167,-28.7,18.22,82,20,5.36,PT,1675612742
39,independence,39.0911,-94.4155,7.84,65,0,3.09,US,1675612744
40,nhulunbuy,-12.2333,136.7667,25.34,88,97,0.0,AU,1675612560
41,merauke,-8.4667,140.3333,25.49,88,100,2.56,ID,1675612745
42,bethel,41.3712,-73.414,4.45,50,0,6.69,US,1675612522
43,thinadhoo,0.5333,72.9333,27.14,69,63,4.02,MV,1675612746
44,victoria,22.2855,114.1577,19.1,87,81,1.34,HK,1675612748
45,richards bay,-28.783,32.0377,25.59,76,11,4.09,ZA,1675612749
46,turayf,31.6725,38.6637,12.14,37,0,9.26,SA,1675612750
47,vaini,-21.2,-175.2,26.34,77,51,4.1,TO,1675612751
